full_address,lat,lon
532 Bedok Nth St 3,1.3340175,103.925139
537 Bedok Nth St 3,1.3320819,103.9240161
545 Bedok Nth St 3,1.3301033,103.9241429
546 Bedok Nth St 3,1.330869,103.9255016
84 Bedok Nth St 4,1.3318119,103.9396416
89 Bedok Nth St 4,1.332718,103.9380402
88 Bedok Nth St 4,1.3327641,103.9394604
703 Bedok Reservoir Rd,1.3371946,103.9198822
702 Bedok Reservoir Rd,1.3373472,103.9187946
704 Bedok Reservoir Rd,1.3365333,103.9203354
709 Bedok Reservoir Rd,1.3353499,103.9225106
609 Bedok Reservoir Rd,1.3318329,103.9131117
616 Bedok Reservoir Rd,1.3318081,103.9148975
109 Bedok Reservoir Rd,1.3298069,103.9097997
740 Bedok Reservoir Rd,1.3383014,103.9225237
33 Bedok Sth Ave 2,1.3228896,103.9390978
69 Bedok Sth Ave 3,1.3193589,103.9435005
46 Bedok Sth Ave 3,1.32243,103.9427236
40 Bedok Sth Rd,1.3210603,103.9397313
39 Bedok Sth Rd,1.3214265,103.9396401
44 Chai Chee St,1.3290909,103.9257561
45 Chai Chee St,1.3286803,103.924414
50 Chai Chee St,1.3293183,103.9225179
24 New Upp Changi Rd,1.3238437,103.9333741
210 New Upp Changi Rd,1.3247277,103.931711
35 Bedok Sth Ave 2,1.3223734,103.9398229
37 Bedok Sth Ave 2,1.3219414,103.9399096
7 Bedok Sth Ave 2,1.3227462,103.935404
6 Bedok Sth Ave 2,1.3221825,103.9348375
44 Bedok Sth Rd,1.3211225,103.9416348
52 New Upp Changi Rd,1.32397,103.9425372
51 New Upp Changi Rd,1.323705,103.941309
717 Bedok Reservoir Rd,1.3375619,103.9254634
718 Bedok Reservoir Rd,1.337161,103.9256829
723 Bedok Reservoir Rd,1.3368473,103.9293084
125 Bedok Reservoir Rd,1.3330077,103.909913
132 Bedok Reservoir Rd,1.332923,103.9119068
110 Lengkong Tiga,1.3241497,103.9111765
109 Lengkong Tiga,1.3246615,103.9107286
512 Bedok Nth Ave 2,1.3333359,103.9291271
517 Bedok Nth Ave 2,1.3310677,103.9291271
408 Bedok Nth Ave 2,1.3284865,103.9326621
411 Bedok Nth Ave 2,1.3283459,103.931665
133 Bedok Nth Ave 3,1.3275177,103.9357439
507 Bedok Nth Ave 3,1.3329865,103.9326168
404 Bedok Nth Ave 3,1.3293572,103.9339311
103 Bedok Nth Ave 4,1.3334342,103.9374662
100 Bedok Nth Ave 4,1.334268,103.9387805
82 Bedok Nth Rd,1.3295396,103.9403668
78 Bedok Nth Rd,1.3272685,103.9409107
81 Bedok Nth Rd,1.3288806,103.9404575
124 Bedok Nth Rd,1.3292548,103.9390071
121 Bedok Nth Rd,1.3296222,103.9387352
421 Bedok Nth Rd,1.3282884,103.9289458
707 Bedok Nth Rd,1.3354419,103.9192478
135 Bedok Nth St 2,1.3286841,103.9364691
132 Bedok Nth St 2,1.3277314,103.936741
