full_address,lat,lon
108 SIMEI ST 1,1.3429963,103.9510862
108 TAMPINES ST 11,1.3478594,103.9486159
108 TECK WHYE LANE,1.3783065,103.752948
108 WOODLANDS ST 13,1.4371846,103.7815558
108 YISHUN RING RD,1.432342,103.8290981
108B MCNAIR RD,1.32016,103.8590612
108C MCNAIR RD,1.3199055,103.8594434
109 ALJUNIED CRES,1.3194688,103.8844492
109 ANG MO KIO AVE 4,1.3701494,103.8376575
109 BEDOK NTH RD,1.3320701,103.9348777
109 BEDOK RESERVOIR RD,1.3298069,103.9097997
109 BISHAN ST 12,1.3467612,103.8479386
109 BT BATOK WEST AVE 6,1.3469891,103.7461618
109 BT PURMEI RD,1.2739482,103.8252941
109 C'WEALTH CRES,1.3073026,103.7991998
109 CLEMENTI ST 11,1.3222301,103.7705903
109 GANGSA RD,1.3774315,103.7677264
109 HOUGANG AVE 1,1.3552337,103.8893423
109 JLN BT MERAH,1.2794991,103.8260265
109 JURONG EAST ST 13,1.3383251,103.7358405
109 LENGKONG TIGA,1.3246615,103.9107286
109 LOR 1 TOA PAYOH,1.3412056,103.8463986
109 MCNAIR RD,1.3217182,103.8591489
109 PASIR RIS ST 11,1.3683881,103.9559589
109 POTONG PASIR AVE 1,1.334789,103.8674998
109 RIVERVALE WALK,1.3831898,103.8996388
109 SERANGOON NTH AVE 1,1.3693516,103.8704735
109 SIMEI ST 1,1.3422697,103.9501796
109 SPOTTISWOODE PK RD,1.2741055,103.8366159
109 TAMPINES ST 11,1.3474197,103.9487065
109 TECK WHYE LANE,1.3786778,103.7521333
109 WHAMPOA RD,1.3271195,103.8557037
109 WOODLANDS ST 13,1.4374082,103.7810126
109 YISHUN RING RD,1.432807,103.828475
109A DEPOT RD,1.2809776,103.8095416
109A EDGEDALE PLAINS,1.3945432,103.9099812
109B DEPOT RD,1.2810522,103.8092699
109B EDGEDALE PLAINS,1.395414,103.909921
109C EDGEDALE PLAINS,1.395182,103.909279
109D EDGEDALE PLAINS,1.39551,103.908885
10A BOON TIONG RD,1.2863928,103.8299909
10B BEDOK STH AVE 2,1.3224673,103.9361971
10B BOON TIONG RD,1.286319,103.8291434
10B LOR 7 TOA PAYOH,1.3372225,103.8583157
10D BEDOK STH AVE 2,1.3217402,103.9363754
10E BEDOK STH AVE 2,1.32166,103.9371924
10F BEDOK STH AVE 2,1.3221701,103.9370129
11 CANTONMENT CL,1.2743997,103.8396276
11 CHAI CHEE RD,1.3269222,103.9247765
11 EUNOS CRES,1.3218511,103.9043813
11 FARRER PK RD,1.3124843,103.8521055
11 HAIG RD,1.3147085,103.8966568
11 HOLLAND DR,1.3090796,103.794051
11 JLN BATU,1.3016333,103.8826371
11 JLN BT MERAH,1.2869066,103.8088114
11 JOO SENG RD,1.3350731,103.880717
11 LOR 8 TOA PAYOH,1.337092,103.859005
11 MARSILING DR,1.4402735,103.7780106
11 PINE CL,1.3082125,103.8826354
11 ST. GEORGE'S RD,1.323119,103.8632723
11 TECK WHYE LANE,1.3797615,103.754849
11 TOH YI DR,1.3380482,103.7726837
11 UPP BOON KENG RD,1.3142619,103.8708812
110 ALJUNIED CRES,1.3199444,103.8844051
110 ANG MO KIO AVE 4,1.3705542,103.8373405
110 BEDOK NTH RD,1.332489,103.9346499
110 BEDOK RESERVOIR RD,1.3301512,103.9103661
110 BISHAN ST 12,1.347495,103.8476668
110 BT BATOK WEST AVE 6,1.3475772,103.7457999
110 BT PURMEI RD,1.2738047,103.8270224
110 C'WEALTH CRES,1.3068586,103.7986691
110 CLEMENTI ST 13,1.3228212,103.771144
110 GANGSA RD,1.3780714,103.7679754
110 HOUGANG AVE 1,1.3547196,103.8896142
110 JURONG EAST ST 13,1.3391271,103.7364741
110 LENGKONG TIGA,1.3241497,103.9111765
110 LOR 1 TOA PAYOH,1.3414985,103.8463986
110 MCNAIR RD,1.3221038,103.8588998
110 PASIR RIS ST 11,1.3687521,103.9563215
110 RIVERVALE WALK,1.3838059,103.8999572
110 SERANGOON NTH AVE 1,1.369323,103.871251
110 SIMEI ST 1,1.3427451,103.950225
110 SPOTTISWOODE PK RD,1.273668,103.8364347
110 TAMPINES ST 11,1.3469774,103.9492505
110 TECK WHYE LANE,1.378239,103.7519523
110 WHAMPOA RD,1.3268505,103.8560239
110 WOODLANDS ST 13,1.4376251,103.7815558
110 YISHUN RING RD,1.4336617,103.8292793
110A PUNGGOL FIELD,1.396123,103.909388
110B PUNGGOL FIELD,1.395862,103.909761
110C PUNGGOL FIELD,1.395536,103.910105
110D PUNGGOL FIELD,1.3952587,103.9104179
111 ALJUNIED CRES,1.3204205,103.884273
111 ANG MO KIO AVE 4,1.3709211,103.8372499
111 BEDOK NTH RD,1.3314701,103.935472
111 BEDOK RESERVOIR RD,1.3299151,103.9100716
111 BISHAN ST 12,1.347053,103.8481197
111 BT BATOK WEST AVE 6,1.3483819,103.745981
111 BT PURMEI RD,1.274388,103.8272941
111 C'WEALTH CRES,1.3063499,103.7983689
111 CLEMENTI ST 13,1.323217,103.770966
111 EDGEFIELD PLAINS,1.396765,103.906848
111 GANGSA RD,1.3781971,103.7684054
111 HO CHING RD,1.3339298,103.7233499
111 HOUGANG AVE 1,1.3548724,103.8885268
111 JURONG EAST ST 13,1.3387661,103.735569
111 LENGKONG TIGA,1.3241496,103.9111766
111 LOR 1 TOA PAYOH,1.3412293,103.8454701
111 LOR 3 GEYLANG,1.3119573,103.8738476
111 MCNAIR RD,1.3213757,103.8582657
111 PASIR RIS ST 11,1.3680406,103.956359
111 RIVERVALE WALK,1.3841891,103.900618
111 SERANGOON NTH AVE 1,1.3691006,103.8704375
111 SIMEI ST 1,1.3423466,103.9495451
111 TAMPINES ST 11,1.3469153,103.9473468
111 TECK WHYE LANE,1.3778715,103.7521333
111 WHAMPOA RD,1.3265691,103.85621
111 WOODLANDS ST 13,1.4379153,103.7820991
111 YISHUN RING RD,1.4332337,103.8285373
111A DEPOT RD,1.2811278,103.8088168
111B DEPOT RD,1.2812029,103.8084545
112 ALJUNIED CRES,1.3203815,103.8851348
112 ANG MO KIO AVE 4,1.3713334,103.8356648
112 BEDOK NTH RD,1.3310316,103.9353813
112 BEDOK RESERVOIR RD,1.3297122,103.9103661
112 BISHAN ST 12,1.3468279,103.8488528
112 BT BATOK WEST AVE 6,1.3483128,103.7452569
112 BT PURMEI RD,1.2745295,103.8259281
112 C'WEALTH CRES,1.3066715,103.7981321
112 CLEMENTI ST 13,1.3231939,103.7699671
112 EDGEFIELD PLAINS,1.3962889,103.907121
112 HO CHING RD,1.3339277,103.7237119
112 HOUGANG AVE 1,1.3544325,103.8886174
112 JURONG EAST ST 13,1.3392767,103.735931
112 LENGKONG TIGA,1.3234906,103.9112673
112 LOR 1 TOA PAYOH,1.3415037,103.8454928
112 LOR 3 GEYLANG,1.3121503,103.8738257
112 MCNAIR RD,1.3212252,103.8589904
112 PASIR RIS ST 11,1.3676545,103.9556911
112 PENDING RD,1.3785618,103.7687223
112 RIVERVALE WALK,1.3833931,103.9013291
112 SERANGOON NTH AVE 1,1.3691764,103.8714966
112 SIMEI ST 1,1.3429686,103.9495451
112 TAMPINES ST 11,1.3462368,103.9475961
112 TECK WHYE LANE,1.3775065,103.7518617
112 WHAMPOA RD,1.3261952,103.8568389
112 WOODLANDS ST 13,1.4383398,103.7817143
112 YISHUN RING RD,1.434258,103.828858
112A DEPOT RD,1.281639,103.80804
112B DEPOT RD,1.281697,103.807681
113 ANG MO KIO AVE 4,1.3718078,103.8359818
113 BEDOK NTH ST 2,1.3303742,103.9352001
113 BEDOK RESERVOIR RD,1.3305887,103.910638
113 BISHAN ST 12,1.3472701,103.8485727
113 BT BATOK WEST AVE 6,1.3488261,103.7451665
113 BT PURMEI RD,1.2748886,103.8271056
113 C'WEALTH CRES,1.3068443,103.7979674
113 CLEMENTI ST 13,1.3235584,103.7702387
113 DEPOT RD,1.2815045,103.8071813
113 HOUGANG AVE 1,1.3535533,103.888708
113 JLN BT MERAH,1.2805225,103.8258442
113 JURONG EAST ST 13,1.3389167,103.7348449
113 LOR 1 TOA PAYOH,1.3412893,103.8445869
113 LOR 3 GEYLANG,1.3118815,103.8739642
113 PASIR RIS ST 11,1.3680973,103.9555963
113 PENDING RD,1.3783555,103.7695145
113 POTONG PASIR AVE 1,1.3362015,103.863436
113 RIVERVALE WALK,1.3843141,103.9015756
113 SERANGOON NTH AVE 1,1.3687656,103.8704735
113 SIMEI ST 1,1.3428567,103.9499077
113 TAMPINES ST 11,1.3465551,103.9463496
113 TAO CHING RD,1.3336807,103.724361
113 TECK WHYE LANE,1.3779522,103.750866
113 WHAMPOA RD,1.3259365,103.8572918
113 WOODLANDS ST 13,1.4379792,103.7812586
113 YISHUN RING RD,1.4344538,103.8286576
114 ANG MO KIO AVE 4,1.372687,103.8359818
114 BEDOK NTH ST 2,1.3305163,103.9359252
114 BEDOK RESERVOIR RD,1.3305197,103.909913
114 BISHAN ST 12,1.3476367,103.8484821
114 BT BATOK WEST AVE 6,1.3488214,103.7459811
114 BT PURMEI RD,1.275194,103.8258403
114 CLEMENTI ST 13,1.3237749,103.7707819
114 DEPOT RD,1.281827,103.8068338
114 EDGEFIELD PLAINS,1.3961984,103.9074254
114 HO CHING RD,1.333422,103.7238896
114 HOUGANG AVE 1,1.3531119,103.8890705
114 JURONG EAST ST 13,1.3392112,103.7345734
114 LENGKONG TIGA,1.3231895,103.9122693
114 LOR 1 TOA PAYOH,1.3409248,103.8443152
114 LOR 3 GEYLANG,1.3116006,103.8740823
114 MARSILING RISE,1.4388012,103.7812842
114 PASIR RIS ST 11,1.3684667,103.9550523
114 PENDING RD,1.3778951,103.7698992
114 POTONG PASIR AVE 1,1.3367162,103.8632483
114 RIVERVALE WALK,1.3840429,103.9010733
114 SERANGOON NTH AVE 1,1.3688835,103.8714968
114 SIMEI ST 1,1.3437502,103.9504289
114 TAMPINES ST 11,1.345967,103.9468029
114 TECK WHYE LANE,1.3785381,103.7509565
114 WHAMPOA RD,1.3255322,103.8576089
114 YISHUN RING RD,1.4343372,103.8268338
115 BEDOK NTH RD,1.3313891,103.9368316
115 BEDOK RESERVOIR RD,1.3306733,103.9086442
115 BISHAN ST 12,1.3480033,103.8483915
115 BT BATOK WEST AVE 6,1.3491477,103.7465696
115 BT MERAH CTRL,1.2842039,103.8146073
115 BT PURMEI RD,1.2754806,103.8269273
115 CLEMENTI ST 13,1.3239894,103.7716873
115 EDGEFIELD PLAINS,1.3952069,103.9073329
115 HO CHING RD,1.3337028,103.7246169
115 HOUGANG AVE 1,1.3527849,103.88785
115 JURONG EAST ST 13,1.3397925,103.735388
115 LENGKONG TIGA,1.3230884,103.9112671
115 LOR 1 TOA PAYOH,1.3407036,103.8445869
115 MARSILING RISE,1.4381433,103.7808315
115 PASIR RIS ST 11,1.368905,103.9552336
115 PENDING RD,1.3780645,103.7691523
115 POTONG PASIR AVE 1,1.3373096,103.862802
115 RIVERVALE WALK,1.3846832,103.9011225
115 SERANGOON NTH AVE 1,1.3681605,103.8705868
115 TECK WHYE LANE,1.3789764,103.7512281
115 WHAMPOA RD,1.3265575,103.857473
115 YISHUN RING RD,1.4345301,103.8280471
115A YISHUN RING RD,1.4333072,103.8275806
115B YISHUN RING RD,1.433284,103.8270295
115C YISHUN RING RD,1.4337908,103.8275862
116 ANG MO KIO AVE 4,1.3734171,103.8364347
116 BEDOK NTH RD,1.3309428,103.9381007
116 BEDOK RESERVOIR RD,1.3311124,103.9086442
116 BISHAN ST 12,1.347777,103.8493055
116 BT BATOK WEST AVE 6,1.3496257,103.7462528
116 BT MERAH CTRL,1.2839699,103.8149968
116 BT MERAH VIEW,1.2851531,103.821393
116 CLEMENTI ST 13,1.3244983,103.772321
116 EDGEFIELD PLAINS,1.395244,103.906758
116 HOUGANG AVE 1,1.3531233,103.8877847
116 JURONG EAST ST 13,1.3397966,103.7346639
116 LENGKONG TIGA,1.3228258,103.9119068
116 LOR 2 TOA PAYOH,1.3404772,103.8457645
116 MARSILING RISE,1.4380727,103.7803788
116 PASIR RIS ST 11,1.3686896,103.9545084
116 PENDING RD,1.3771875,103.7686997
116 SERANGOON NTH AVE 1,1.3685165,103.8715873
116 SIMEI ST 1,1.343658,103.9512787
116 TECK WHYE LANE,1.3793392,103.7518617
116 YISHUN RING RD,1.4350887,103.8279473
116A RIVERVALE DR,1.3826235,103.9024818
116B RIVERVALE DR,1.382059,103.902366
116C RIVERVALE DR,1.382106,103.902968
117 ANG MO KIO AVE 4,1.3736407,103.8358007
117 BEDOK NTH RD,1.3306475,103.9385539
117 BEDOK RESERVOIR RD,1.3314046,103.9087348
117 BISHAN ST 12,1.3469693,103.8499396
117 BT BATOK WEST AVE 6,1.3498771,103.7471128
117 BT MERAH CTRL,1.2837249,103.8154498
117 CLEMENTI ST 13,1.3245029,103.7715062
117 EDGEFIELD PLAINS,1.3953168,103.9064393
117 HOUGANG AVE 1,1.353611,103.8882323
117 LOR 1 TOA PAYOH,1.340041,103.845221
117 MARSILING RISE,1.4382428,103.7801062
117 PASIR RIS ST 11,1.3678825,103.9547804
117 PENDING RD,1.3773202,103.7679528
117 POTONG PASIR AVE 1,1.3363212,103.8628473
117 SERANGOON NTH AVE 1,1.3679354,103.8706782
117 SIMEI ST 1,1.3446047,103.9513563
117 TECK WHYE LANE,1.3796362,103.7512281
117 YISHUN RING RD,1.4355227,103.8276383
117A RIVERVALE DR,1.383171,103.902613
117B RIVERVALE DR,1.3836845,103.9027084
117C RIVERVALE DR,1.383378,103.903215
118 ANG MO KIO AVE 4,1.3732764,103.8354384
118 BEDOK NTH ST 2,1.3304343,103.9374662
118 BEDOK RESERVOIR RD,1.3310913,103.90912
118 BISHAN ST 12,1.346648,103.849912
118 BT BATOK WEST AVE 6,1.350285,103.7462529
118 CLEMENTI ST 13,1.3249363,103.7719595
118 EDGEFIELD PLAINS,1.3965019,103.9062984
118 HOUGANG AVE 1,1.3534138,103.8875301
118 LOR 1 TOA PAYOH,1.3395306,103.8448587
118 MARSILING RISE,1.4385132,103.7803788
118 PASIR RIS ST 11,1.3670586,103.954803
118 PENDING RD,1.3768954,103.7685186
118 POTONG PASIR AVE 1,1.3355355,103.8626434
118 SERANGOON NTH AVE 1,1.3676423,103.8708613
118 TECK WHYE LANE,1.3799337,103.7505039
118 YISHUN RING RD,1.436015,103.8284641
118A JLN MEMBINA,1.2815308,103.8256791
